symbol	idx	date	temperature	humidity
hall	1	2015-10-01	23	46
hall	2	2015-10-02	24.5	46.6
hall	3	2015-10-03	25	48.7
hall	4	2015-10-04	23.6	48.7
hall	5	2015-10-05	28.7	49.8
hall	6	2015-10-06	26	46.9
hall	7	2015-10-07	24.7	46.1
hall	8	2015-10-08	23.8	48
hall	9	2015-10-09	36	47.1
hall	10	2015-10-10	38	69
hall	11	2015-10-11	15	52
hall	12	2015-10-12	16	53
hall	13	2015-10-13	20	60
hall	14	2015-10-14	21	70
hall	15	2015-10-15	22	69
hall	16	2015-10-16	22	52
hall	17	2015-10-17	23.5	53
hall	18	2015-10-18	24.5	60
hall	19	2015-10-19	28	55
hall	20	2015-10-20	24	56
hall	21	2015-10-21	27.5	62
hall	22	2015-10-22	28.5	58
